2015-3-11 8:52:11,,,,,,,,,,,,,,,,,,
136,TD2025 25dBm Icc,tdscdma,mA,200,1500,3.5,0,0.7,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.56719362,30.963,0
137,TD2025 25dBm PAE,tdscdma,%,6,40,3.5,0,0.7,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.56719362,30.963,0
138,TD2025 25dBm Gain,tdscdma,dB,27,35,3.5,0,0.7,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.56719362,30.963,0
139,TD2025 25dBm ACLR (-1.6MHz),tdscdma acp,dBc,-90,-35,3.5,0,0.7,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.56719362,30.963,0
140,TD2025 25dBm ACLR (+1.6MHz),tdscdma,dBc,-90,-35,3.5,0,0.7,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.56719362,30.963,0
141,TD2025 25dBm ACLR (-3.2MHz),tdscdma,dBc,-90,-48,3.5,0,0.7,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.56719362,30.963,0
142,TD2025 25dBm ACLR (+3.2MHz),tdscdma,dBc,-90,-48,3.5,0,0.7,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.56719362,30.963,0
143,TD2025 25dBm EVM,tdscdma evm,%,0,5,3.5,0,0.7,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.56719362,30.963,0
144,Insertion Loss Rx1,rx 1,dBm,-2,0,3.5,0,0,0,1.25,0,0,0,-99,2170,2170,3.5184987,31.037,0
145,Insertion Loss Rx2,rx 2,dBm,-2,0,3.5,0,0,0,1.25,1.25,0,0,-99,2170,2170,3.5184987,31.037,0
146,Insertion Loss Rx3,rx 3,dBm,-2,0,3.5,0,0,0,1.25,0,1.25,0,-99,2170,2170,3.5184987,31.037,0
147,Insertion Loss Rx4,rx 4,dBm,-2,0,3.5,0,0,0,1.25,1.25,1.25,0,-99,2170,2170,3.5184987,31.037,0
148,Insertion Loss Rx5,rx 5,dBm,-2,0,3.5,0,0,0,0,1.25,0,0,-99,2170,2170,3.5184987,31.037,0
149,Insertion Loss Rx6,rx 6,dBm,-2,0,3.5,0,0,0,0,0,1.25,0,-99,2170,2170,3.5184987,31.037,0
150,Idle_H_Vbat_0.8v,tdd hb idle,mA,0,5,3.5,0,0.7,1.8,1.25,1.25,1.25,-99,-99,0,0,0,0,0
151,Idle_H_Vcc_0.8v,tdd hb,mA,0,250,3.5,0,0.7,1.8,1.25,1.25,1.25,-99,-99,0,0,0,0,0
152,Idle_H_Total_0.8v,tdd hb,mA,20,250,3.5,0,0.7,1.8,1.25,1.25,1.25,-99,-99,0,0,0,0,0
153,Pin_H_1880,tdd hb gain,dBm,-8,4,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
154,Pout_H_1880,tdd hb,dBm,24.9,25.1,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
155,Gain_H_1880,tdd hb,dB,24,32,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
156,Icc_H_Vbat_1880,tdd hb,mA,0,20,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
157,Icc_H_Vcc_1880,tdd hb,mA,80,750,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
158,Icc_H_Total_1880,tdd hb,mA,100,750,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
159,PAE_H_Total_1880,tdd hb,%,10,50,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
160,EUTRA_ACP_1880,tdd hb acp,dBc,-80,-29.2,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
161,UTRA_ACP_L_H_1880,tdd hb,dBc,-80,-32.2,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
162,UTRA_ALT_L_H_1880,tdd hb,dBc,-80,-39,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
163,EVM_H_1880,tdd hb evm,%,0,8,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1880,1880,3.41905448,31.128,0
164,Idle_H_Vbat_0v,tdd hb idle,mA,0,5,3.5,0,0.05,1.8,1.25,1.25,1.25,-99,-99,0,0,0,0,0
165,Idle_H_Vcc_0v,tdd hb,mA,0,250,3.5,0,0.05,1.8,1.25,1.25,1.25,-99,-99,0,0,0,0,0
166,Idle_H_Total_0v,tdd hb,mA,20,250,3.5,0,0.05,1.8,1.25,1.25,1.25,-99,-99,0,0,0,0,0
167,Pin_H_1920,tdd hb gain,dBm,-8,4,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
168,Pout_H_1920,tdd hb,dBm,24.9,25.1,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
169,Gain_H_1920,tdd hb,dB,24,32,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
170,Icc_H_Vbat_1920,tdd hb,mA,0,20,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
171,Icc_H_Vcc_1920,tdd hb,mA,80,750,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
172,Icc_H_Total_1920,tdd hb,mA,100,750,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
173,PAE_H_Total_1920,tdd hb,%,10,50,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
174,EUTRA_ACP_1920,tdd hb acp,dBc,-80,-29.2,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
175,UTRA_ACP_L_H_1920,tdd hb,dBc,-80,-32.2,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
176,UTRA_ALT_L_H_1920,tdd hb,dBc,-80,-39,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0
177,EVM_H_1920,tdd hb evm,%,0,8,3.5,0,0.7,1.8,1.25,1.25,1.25,0,25,1920,1920,3.44251258,31.31,0

