2014-2-13 15:48:38,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,Vramp,Txen,gpctrl0,gpctrl1,gpctrl2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
26,GSM880 Stress Delta,cw lb stress,dB,-0.25,0.25,4.2,1.8,1.25,0,0,1.25,3,-99,880,880,3.226,30.8828945,0
27,GSM915 Idle Current,cw lb idle,mA,500,1200,3.5,1.8,1.25,0,0,1.25,-99,-99,0,0,0,0,0
28,GSM915 Max Pout@0dBm,cw lb pout,dBm,33,40,3.5,1.8,1.25,0,0,1.25,0,-99,915,915,3.247,30.9027881,0
29,GSM915 Max Pout@3dBm,cw lb powerpae,dBm,33,40,3.5,1.8,1.25,0,0,1.25,3,-99,915,915,3.247,30.9027881,0
30,GSM915 Max Icc,cw lb ,mA,0,3000,3.5,1.8,1.25,0,0,1.25,3,-99,915,915,3.247,30.9027881,0
31,GSM915 Max PAE,cw lb ,%,36,60,3.5,1.8,1.25,0,0,1.25,3,-99,915,915,3.247,30.9027881,0
32,GSM915 Rated Pout,cw lb servo,dBm,32.95,33.05,3.5,0,1.25,0,0,1.25,3,33,915,915,3.247,30.9027881,0
33,GSM915 Rated Vramp,cw lb ,V,1.2,1.8,3.5,0,1.25,0,0,1.25,3,33,915,915,3.247,30.9027881,0
34,GSM915 Rated Icc,cw lb,mA,0,3000,3.5,0,0,0,0,0,3,33,0,0,0,0,0
35,GSM915 Rated PAE,cw lb,%,36,60,3.5,0,0,0,0,0,3,33,0,0,0,0,0
36,GSM915 2nd Har@33dBm,cw lb harmonic,dBm,-99,-33,3.5,0,1.25,0,0,1.25,3,33,915,1830,3.247,31.32,0
37,GSM915 3nd Har@33dBm,cw lb harmonic,dBm,-99,-33,3.5,0,1.25,0,0,1.25,3,33,915,2745,3.247,31.153,0
38,GSM915 Cmos Pout,cw lb pout,dBm,5,21.5,3.5,0.45,1.25,0,0,1.25,3,-99,915,915,3.247,30.9027881,0
39,GSM915 Stress Delta,cw lb stress,dB,-0.25,0.25,4.2,1.8,1.25,0,0,1.25,3,-99,915,915,3.247,30.9027881,0
40,DCS1710 Idle Current,cw hb idle,mA,500,1200,3.5,1.8,1.25,0,1.25,1.25,-99,-99,0,0,0,0,0
41,DCS1710 Max Pout@0dBm,cw hb pout,dBm,30,40,3.5,1.8,1.25,0,1.25,1.25,0,-99,1710,1710,3.438,31.0064425,0
42,DCS1710 Max Pout@3dBm,cw hb powerpae,dBm,30,40,3.5,1.8,1.25,0,1.25,1.25,3,-99,1710,1710,3.438,31.0064425,0
43,DCS1710 Max Icc,cw hb ,mA,0,3000,3.5,1.8,1.25,0,1.25,1.25,3,-99,1710,1710,3.438,31.0064425,0
44,DCS1710 Max PAE,cw hb ,%,32,60,3.5,1.8,1.25,0,1.25,1.25,3,-99,1710,1710,3.438,31.0064425,0
45,DCS1710 Rated Pout,cw hb servo,dBm,29.95,30.05,3.5,0,1.25,0,1.25,1.25,3,30,1710,1710,3.438,31.0064425,0
46,DCS1710 Rated Vramp,cw hb ,V,1.2,1.8,3.5,0,1.25,0,1.25,1.25,3,30,1710,1710,3.438,31.0064425,0
47,DCS1710 Rated Icc,cw hb ,mA,0,3000,3.5,0,0,0,0,0,3,30,0,0,0,0,0
48,DCS1710 Rated PAE,cw hb ,%,30,60,3.5,0,0,0,0,0,3,30,0,0,0,0,0
49,DCS1710 2nd Har@33dBm,cw hb harmonic,dBm,-99,-30,3.5,0,1.25,0,1.25,1.25,3,30,1710,3420,3.438,31.946,0
50,DCS1710 3nd Har@33dBm,cw hb harmonic,dBm,-99,-30,3.5,0,1.25,0,1.25,1.25,3,30,1710,5130,3.438,33.062,0
51,DCS1710 Cmos Pout,cw hb pout,dBm,0,21.5,3.5,0.45,1.25,0,1.25,1.25,3,-99,1710,1710,3.438,31.0064425,0
52,DCS1710 Stress Delta,cw hb stress,dB,-0.25,0.25,4.2,1.8,1.25,0,1.25,1.25,3,0,1710,1710,3.438,31.0064425,0
53,DCS1785 Idle Current,cw hb idle,mA,500,1200,3.5,1.8,1.25,0,1.25,1.25,-99,-99,0,0,0,0,0
54,DCS1785 Max Pout@0dBm,cw hb pout,dBm,30,40,3.5,1.8,1.25,0,1.25,1.25,0,-99,1785,1785,3.457,30.9876667,0
55,DCS1785 Max Pout@3dBm,cw hb powerpae,dBm,30,40,3.5,1.8,1.25,0,1.25,1.25,3,-99,1785,1785,3.457,30.9876667,0
56,DCS1785 Max Icc,cw hb ,mA,0,3000,3.5,1.8,1.25,0,1.25,1.25,3,-99,1785,1785,3.457,30.9876667,0
57,DCS1785 Max PAE,cw hb ,%,32,60,3.5,1.8,1.25,0,1.25,1.25,3,-99,1785,1785,3.457,30.9876667,0
58,DCS1785 Rated Pout,cw hb servo,dBm,29.95,30.05,3.5,0,1.25,0,1.25,1.25,3,30,1785,1785,3.457,30.9876667,0
59,DCS1785 Rated Vramp,cw hb ,V,1.2,1.8,3.5,0,1.25,0,1.25,1.25,3,30,1785,1785,3.457,30.9876667,0
60,DCS1785 Rated Icc,cw hb ,mA,0,3000,3.5,0,0,0,0,0,3,30,0,0,0,0,0
61,DCS1785 Rated PAE,cw hb ,%,30,60,3.5,0,0,0,0,0,3,30,0,0,0,0,0
62,DCS1785 2nd Har@33dBm,cw hb harmonic,dBm,-99,-30,3.5,0,1.25,0,1.25,1.25,3,30,1785,3570,3.457,31.754,0
63,DCS1785 3nd Har@33dBm,cw hb harmonic,dBm,-99,-30,3.5,0,1.25,0,1.25,1.25,3,30,1785,5355,3.457,32.975,0
64,DCS1785 Cmos Pout,cw hb pout,dBm,0,21.5,3.5,0.45,1.25,0,1.25,1.25,3,-99,1785,1785,3.457,30.9876667,0
65,DCS1785 Stress Delta,cw hb stress,dB,-0.25,0.25,4.2,1.8,1.25,0,1.25,1.25,3,0,1785,1785,3.457,30.9876667,0
66,DCS1910 Idle Current,cw hb idle,mA,500,1200,3.5,1.8,1.25,0,1.25,1.25,-99,-99,0,0,0,0,0
67,DCS1910 Max Pout@0dBm,cw hb pout,dBm,30,40,3.5,1.8,1.25,0,1.25,1.25,0,-99,1910,1910,3.529,30.9844326,0
68,DCS1910 Max Pout@3dBm,cw hb powerpae,dBm,30,40,3.5,1.8,1.25,0,1.25,1.25,3,-99,1910,1910,3.529,30.9844326,0
69,DCS1910 Max Icc,cw hb ,mA,0,3000,3.5,1.8,1.25,0,1.25,1.25,3,-99,1910,1910,3.529,30.9844326,0
70,DCS1910 Max PAE,cw hb ,%,32,60,3.5,1.8,1.25,0,1.25,1.25,3,-99,1910,1910,3.529,30.9844326,0
71,DCS1910 Rated Pout,cw hb servo,dBm,29.95,30.05,3.5,0,1.25,0,1.25,1.25,3,30,1910,1910,3.529,30.9844326,0
72,DCS1910 Rated Vramp,cw hb ,V,1.2,1.8,3.5,0,1.25,0,1.25,1.25,3,30,1910,1910,3.529,30.9844326,0
73,DCS1910 Rated Icc,cw hb ,mA,0,3000,3.5,0,0,0,0,0,3,30,0,0,0,0,0
74,DCS1910 Rated PAE,cw hb ,%,30,60,3.5,0,0,0,0,0,3,30,0,0,0,0,0
75,DCS1910 2nd Har@33dBm,cw hb harmonic,dBm,-99,-30,3.5,0,1.25,0,1.25,1.25,3,30,1910,3820,3.529,32.087,0
76,DCS1910 3nd Har@33dBm,cw hb harmonic,dBm,-99,-30,3.5,0,1.25,0,1.25,1.25,3,30,1910,5730,3.529,32.543,0
77,DCS1910 Cmos Pout,cw hb pout,dBm,0,21.5,3.5,0.45,1.25,0,1.25,1.25,3,-99,1910,1910,3.529,30.9844326,0
78,DCS1910 Stress Delta,cw hb stress,dB,-0.25,0.25,4.2,1.8,1.25,0,1.25,1.25,3,0,1910,1910,3.529,30.9844326,0
79,GSM824 Edge Idle Current,edge lb idle,mA,500,1200,3.6,1.8,1.25,1.25,0,1.25,-99,-99,0,0,0,0,0
80,GSM824 Edge 27dBm Pout,edge lb gain,dBm,26.9,27.1,3.6,1.8,1.25,1.25,0,1.25,-10,27,824,824,3.235,30.859,0
81,GSM824 Edge 27dBm Pin,edge lb,dBm,-30,30,3.6,1.8,1.25,1.25,0,1.25,-10,27,824,824,3.235,30.859,0
82,GSM824 Edge 27dBm Icc,edge lb,mA,200,1500,3.6,1.8,1.25,1.25,0,1.25,-10,27,824,824,3.235,30.859,0
83,GSM824 Edge 27dBm PAE,edge lb,%,9.5,26,3.6,1.8,1.25,1.25,0,1.25,-10,27,824,824,3.235,30.859,0
84,GSM824 Edge 27dBm Gain,edge lb,dB,32,38,3.6,1.8,1.25,1.25,0,1.25,-10,27,824,824,3.235,30.859,0
85,GSM824 Edge 27dBm EVM,edge lb evm,%,0,8,3.6,1.8,1.25,1.25,0,1.25,-10,27,824,824,3.235,30.859,0
86,GSM824 Edge 27dBm ACPR (-400kHz),edge lb acp,dBc,-90,-57,3.6,1.8,1.25,1.25,0,1.25,-10,27,824,824,3.235,30.859,0
87,GSM824 Edge 27dBm ACPR (+400kHz),edge lb,dBc,-90,-57,3.6,1.8,1.25,1.25,0,1.25,-10,27,824,824,3.235,30.859,0
88,GSM880 Edge Idle Current,edge lb idle,mA,500,1200,3.6,1.8,1.25,1.25,0,1.25,-99,-99,0,0,0,0,0
89,GSM880 Edge 27dBm Pout,edge lb gain,dBm,26.9,27.1,3.6,1.8,1.25,1.25,0,1.25,-10,27,880,880,3.226,30.882,0
90,GSM880 Edge 27dBm Pin,edge lb,dBm,-30,30,3.6,1.8,1.25,1.25,0,1.25,-10,27,880,880,3.226,30.882,0
91,GSM880 Edge 27dBm Icc,edge lb,mA,200,1500,3.6,1.8,1.25,1.25,0,1.25,-10,27,880,880,3.226,30.882,0
92,GSM880 Edge 27dBm PAE,edge lb,%,9.5,26,3.6,1.8,1.25,1.25,0,1.25,-10,27,880,880,3.226,30.882,0
93,GSM880 Edge 27dBm Gain,edge lb,dB,32,38,3.6,1.8,1.25,1.25,0,1.25,-10,27,880,880,3.226,30.882,0
94,GSM880 Edge 27dBm EVM,edge lb evm,%,0,8,3.6,1.8,1.25,1.25,0,1.25,-10,27,880,880,3.226,30.882,0
95,GSM880 Edge 27dBm ACPR (-400kHz),edge lb acp,dBc,-90,-57,3.6,1.8,1.25,1.25,0,1.25,-10,27,880,880,3.226,30.882,0
96,GSM880 Edge 27dBm ACPR (+400kHz),edge lb,dBc,-90,-57,3.6,1.8,1.25,1.25,0,1.25,-10,27,880,880,3.226,30.882,0
97,GSM915 Edge Idle Current,edge lb idle,mA,500,1200,3.6,1.8,1.25,1.25,0,1.25,-99,-99,0,0,0,0,0
98,GSM915 Edge 27dBm Pout,edge lb gain,dBm,26.9,27.1,3.6,1.8,1.25,1.25,0,1.25,-10,27,915,915,3.247,31.063,0
99,GSM915 Edge 27dBm Pin,edge lb,dBm,-30,30,3.6,1.8,1.25,1.25,0,1.25,-10,27,915,915,3.247,31.063,0
100,GSM915 Edge 27dBm Icc,edge lb,mA,200,1500,3.6,1.8,1.25,1.25,0,1.25,-10,27,915,915,3.247,31.063,0
101,GSM915 Edge 27dBm PAE,edge lb,%,9.5,26,3.6,1.8,1.25,1.25,0,1.25,-10,27,915,915,3.247,31.063,0
102,GSM915 Edge 27dBm Gain,edge lb,dB,32,38,3.6,1.8,1.25,1.25,0,1.25,-10,27,915,915,3.247,31.063,0
103,GSM915 Edge 27dBm EVM,edge lb evm,%,0,8,3.6,1.8,1.25,1.25,0,1.25,-10,27,915,915,3.247,31.063,0
104,GSM915 Edge 27dBm ACPR (-400kHz),edge lb acp,dBc,-90,-57,3.6,1.8,1.25,1.25,0,1.25,-10,27,915,915,3.247,31.063,0
105,GSM915 Edge 27dBm ACPR (+400kHz),edge lb,dBc,-90,-57,3.6,1.8,1.25,1.25,0,1.25,-10,27,915,915,3.247,31.063,0
106,DCS1710 Edge Idle Current,edge hb idle,mA,500,1200,3.6,1.8,1.25,1.25,1.25,1.25,-99,-99,0,0,0,0,0
107,DCS1710 Edge 26.5dBm Pout,edge hb gain,dBm,26.4,26.6,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1710,1710,3.438,30.607,0
108,DCS1710 Edge 26.5dBm Pin,edge hb,dBm,-30,30,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1710,1710,3.438,30.607,0
109,DCS1710 Edge 26.5dBm Icc,edge hb,mA,200,1500,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1710,1710,3.438,30.607,0
110,DCS1710 Edge 26.5dBm PAE,edge hb,%,8,25,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1710,1710,3.438,30.607,0
111,DCS1710 Edge 26.5dBm Gain,edge hb,dB,31.5,37.5,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1710,1710,3.438,30.607,0
112,DCS1710 Edge 26.5dBm EVM,edge hb evm,%,0,8,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1710,1710,3.438,30.607,0
113,DCS1710 Edge 26.5dBm ACPR (-400kHz),edge hb acp,dBc,-90,-57,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1710,1710,3.438,30.607,0
114,DCS1710 Edge 26.5dBm ACPR (+400kHz),edge hb,dBc,-90,-57,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1710,1710,3.438,30.607,0
115,DCS1785 Edge Idle Current,edge hb idle,mA,500,1200,3.6,1.8,1.25,1.25,1.25,1.25,-99,-99,0,0,0,0,0
116,DCS1785 Edge 26.5dBm Pout,edge hb gain,dBm,26.4,26.6,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1785,1785,3.457,30.716,0
117,DCS1785 Edge 26.5dBm Pin,edge hb,dBm,-30,30,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1785,1785,3.457,30.716,0
118,DCS1785 Edge 26.5dBm Icc,edge hb,mA,200,1500,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1785,1785,3.457,30.716,0
119,DCS1785 Edge 26.5dBm PAE,edge hb,%,8,25,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1785,1785,3.457,30.716,0
120,DCS1785 Edge 26.5dBm Gain,edge hb,dB,31.5,37.5,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1785,1785,3.457,30.716,0
121,DCS1785 Edge 26.5dBm EVM,edge hb evm,%,0,8,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1785,1785,3.457,30.716,0
122,DCS1785 Edge 26.5dBm ACPR (-400kHz),edge hb acp,dBc,-90,-57,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1785,1785,3.457,30.716,0
123,DCS1785 Edge 26.5dBm ACPR (+400kHz),edge hb,dBc,-90,-57,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1785,1785,3.457,30.716,0
124,DCS1910 Edge Idle Current,edge hb idle,mA,500,1200,3.6,1.8,1.25,1.25,1.25,1.25,-99,-99,0,0,0,0,0
125,DCS1910 Edge 26.5dBm Pout,edge hb gain,dBm,26.4,26.6,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1910,1910,3.529,30.973,0
126,DCS1910 Edge 26.5dBm Pin,edge hb,dBm,-30,30,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1910,1910,3.529,30.973,0
127,DCS1910 Edge 26.5dBm Icc,edge hb,mA,200,1500,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1910,1910,3.529,30.973,0
128,DCS1910 Edge 26.5dBm PAE,edge hb,%,8,25,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1910,1910,3.529,30.973,0
129,DCS1910 Edge 26.5dBm Gain,edge hb,dB,31.5,37.5,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1910,1910,3.529,30.973,0
130,DCS1910 Edge 26.5dBm EVM,edge hb evm,%,0,8,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1910,1910,3.529,30.973,0
131,DCS1910 Edge 26.5dBm ACPR (-400kHz),edge hb acp,dBc,-90,-57,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1910,1910,3.529,30.973,0
132,DCS1910 Edge 26.5dBm ACPR (+400kHz),edge hb,dBc,-90,-57,3.6,1.8,1.25,1.25,1.25,1.25,-6,26.5,1910,1910,3.529,30.973,0
133,TD2025 Idle Current,tdscdma idle,mA,0,1200,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
134,TD2025 25dBm Pout,tdscdma gain,dBm,24.9,25.1,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
135,TD2025 25dBm Pin,tdscdma,dBm,-30,30,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
136,TD2025 25dBm Icc,tdscdma,mA,200,1500,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
137,TD2025 25dBm PAE,tdscdma,%,6,40,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
138,TD2025 25dBm Gain,tdscdma,dB,27,35,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
139,TD2025 25dBm ACLR (-1.6MHz),tdscdma acp,dBc,-90,-35,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
140,TD2025 25dBm ACLR (+1.6MHz),tdscdma,dBc,-90,-35,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
141,TD2025 25dBm ACLR (-3.2MHz),tdscdma,dBc,-90,-48,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
142,TD2025 25dBm ACLR (+3.2MHz),tdscdma,dBc,-90,-48,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
143,TD2025 25dBm EVM,tdscdma evm,%,0,5,3.5,0.05,1.25,1.25,1.25,1.25,-6,25,2025,2025,3.5,31.295,0
144,Insertion Loss Rx1,rx 1,dBm,-2,0,3.5,0,0,1.25,0,0,0,-99,2170,2170,3.554,30.9184341,0
145,Insertion Loss Rx2,rx 2,dBm,-2,0,3.5,0,0,1.25,1.25,0,0,-99,2170,2170,3.554,30.9184341,0
146,Insertion Loss Rx3,rx 3,dBm,-2,0,3.5,0,0,1.25,0,1.25,0,-99,2170,2170,3.554,30.9184341,0
147,Insertion Loss Rx4,rx 4,dBm,-2,0,3.5,0,0,1.25,1.25,1.25,0,-99,2170,2170,3.554,30.9184341,0
148,Insertion Loss Rx5,rx 5,dBm,-2,0,3.5,0,0,0,1.25,0,0,-99,2170,2170,3.554,30.9184341,0
149,Insertion Loss Rx6,rx 6,dBm,-2,0,3.5,0,0,0,0,1.25,0,-99,2170,2170,3.554,30.9184341,0

